module,entity,operation,method,endpoint,authentication,role_enforcement,ownership_enforcement,tenant_enforcement,mfa_enforcement,sensitive_resource,audit_enforcement,idempotency,enforcement_status,test_evidence,evidence
identity,biometrics,create,POST,/resources/biometrics,actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,store.create gera audit/event,X-Idempotency-Key somente transacionais,parcial_estatico,,modules/shared/runtime.py:489
identity,biometrics,list,GET,/resources/biometrics,actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,lista do actor; user_id de terceiro exige APPROVER_ROLES,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:499
identity,biometrics,read,GET,/resources/biometrics/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator antes da exposição,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:512
identity,biometrics,update,PATCH,/resources/biometrics/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,store.update gera audit,não exigida genericamente,parcial_estatico,,modules/shared/runtime.py:524
identity,biometrics,delete,DELETE,/resources/biometrics/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator; sensíveis/imutáveis bloqueados,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,soft_delete gera audit,não aplicável,parcial_estatico,,modules/shared/runtime.py:545
identity,sessions,create,POST,/resources/sessions,actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,store.create gera audit/event,X-Idempotency-Key somente transacionais,parcial_estatico,,modules/shared/runtime.py:489
identity,sessions,list,GET,/resources/sessions,actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,lista do actor; user_id de terceiro exige APPROVER_ROLES,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,leitura não auditada genericamente,não aplicável,parcial_estatico,tests/test_identity_session_security.py:52,modules/shared/runtime.py:499
identity,sessions,read,GET,/resources/sessions/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator antes da exposição,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:512
identity,sessions,update,PATCH,/resources/sessions/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,store.update gera audit,não exigida genericamente,parcial_estatico,,modules/shared/runtime.py:524
identity,sessions,delete,DELETE,/resources/sessions/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator; sensíveis/imutáveis bloqueados,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,soft_delete gera audit,não aplicável,parcial_estatico,,modules/shared/runtime.py:545
identity,identity_verifications,create,POST,/resources/identity_verifications,actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,store.create gera audit/event,X-Idempotency-Key somente transacionais,parcial_estatico,,modules/shared/runtime.py:489
identity,identity_verifications,list,GET,/resources/identity_verifications,actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,lista do actor; user_id de terceiro exige APPROVER_ROLES,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,leitura não auditada genericamente,não aplicável,parcial_estatico,tests/test_identity_session_security.py:135,modules/shared/runtime.py:499
identity,identity_verifications,read,GET,/resources/identity_verifications/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator antes da exposição,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:512
identity,identity_verifications,update,PATCH,/resources/identity_verifications/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,store.update gera audit,não exigida genericamente,parcial_estatico,,modules/shared/runtime.py:524
identity,identity_verifications,delete,DELETE,/resources/identity_verifications/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator; sensíveis/imutáveis bloqueados,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,soft_delete gera audit,não aplicável,parcial_estatico,,modules/shared/runtime.py:545
identity,consent_records,create,POST,/resources/consent_records,actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,store.create gera audit/event,X-Idempotency-Key somente transacionais,parcial_estatico,,modules/shared/runtime.py:489
identity,consent_records,list,GET,/resources/consent_records,actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,lista do actor; user_id de terceiro exige APPROVER_ROLES,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:499
identity,consent_records,read,GET,/resources/consent_records/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator antes da exposição,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:512
identity,consent_records,update,PATCH,/resources/consent_records/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,store.update gera audit,não exigida genericamente,parcial_estatico,,modules/shared/runtime.py:524
identity,consent_records,delete,DELETE,/resources/consent_records/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator; sensíveis/imutáveis bloqueados,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,soft_delete gera audit,não aplicável,parcial_estatico,,modules/shared/runtime.py:545
business,companies,create,POST,/resources/companies,actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,store.create gera audit/event,X-Idempotency-Key somente transacionais,parcial_estatico,tests/test_business_jobs_journey.py:35,modules/shared/runtime.py:489
business,companies,list,GET,/resources/companies,actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,lista do actor; user_id de terceiro exige APPROVER_ROLES,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:499
business,companies,read,GET,/resources/companies/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator antes da exposição,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:512
business,companies,update,PATCH,/resources/companies/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,store.update gera audit,não exigida genericamente,parcial_estatico,,modules/shared/runtime.py:524
business,companies,delete,DELETE,/resources/companies/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator; sensíveis/imutáveis bloqueados,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,soft_delete gera audit,não aplicável,parcial_estatico,,modules/shared/runtime.py:545
business,branches,create,POST,/resources/branches,actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,store.create gera audit/event,X-Idempotency-Key somente transacionais,parcial_estatico,tests/test_permissions_enforcement_matrix.py:208;tests/test_valley_ecosystem.py:37,modules/shared/runtime.py:489
business,branches,list,GET,/resources/branches,actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,lista do actor; user_id de terceiro exige APPROVER_ROLES,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:499
business,branches,read,GET,/resources/branches/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator antes da exposição,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,leitura não auditada genericamente,não aplicável,parcial_estatico,tests/test_permissions_enforcement_matrix.py:220,modules/shared/runtime.py:512
business,branches,update,PATCH,/resources/branches/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,store.update gera audit,não exigida genericamente,parcial_estatico,,modules/shared/runtime.py:524
business,branches,delete,DELETE,/resources/branches/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator; sensíveis/imutáveis bloqueados,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,soft_delete gera audit,não aplicável,parcial_estatico,,modules/shared/runtime.py:545
business,company_documents,create,POST,/resources/company_documents,actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,store.create gera audit/event,X-Idempotency-Key somente transacionais,parcial_estatico,,modules/shared/runtime.py:489
business,company_documents,list,GET,/resources/company_documents,actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,lista do actor; user_id de terceiro exige APPROVER_ROLES,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:499
business,company_documents,read,GET,/resources/company_documents/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator antes da exposição,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:512
business,company_documents,update,PATCH,/resources/company_documents/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,store.update gera audit,não exigida genericamente,parcial_estatico,,modules/shared/runtime.py:524
business,company_documents,delete,DELETE,/resources/company_documents/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator; sensíveis/imutáveis bloqueados,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,soft_delete gera audit,não aplicável,parcial_estatico,,modules/shared/runtime.py:545
business,user_company_memberships,create,POST,/resources/user_company_memberships,actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,store.create gera audit/event,X-Idempotency-Key somente transacionais,parcial_estatico,,modules/shared/runtime.py:489
business,user_company_memberships,list,GET,/resources/user_company_memberships,actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,lista do actor; user_id de terceiro exige APPROVER_ROLES,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:499
business,user_company_memberships,read,GET,/resources/user_company_memberships/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator antes da exposição,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:512
business,user_company_memberships,update,PATCH,/resources/user_company_memberships/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,store.update gera audit,não exigida genericamente,parcial_estatico,,modules/shared/runtime.py:524
business,user_company_memberships,delete,DELETE,/resources/user_company_memberships/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator; sensíveis/imutáveis bloqueados,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,True,soft_delete gera audit,não aplicável,parcial_estatico,,modules/shared/runtime.py:545
business,catalog_offers,create,POST,/resources/catalog_offers,actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,store.create gera audit/event,X-Idempotency-Key somente transacionais,parcial_estatico,tests/e2e/test_valley_catalog_journey.py:37;tests/test_valley_catalog.py:328,modules/shared/runtime.py:489
business,catalog_offers,list,GET,/resources/catalog_offers,actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,lista do actor; user_id de terceiro exige APPROVER_ROLES,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:499
business,catalog_offers,read,GET,/resources/catalog_offers/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator antes da exposição,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:512
business,catalog_offers,update,PATCH,/resources/catalog_offers/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,store.update gera audit,não exigida genericamente,parcial_estatico,,modules/shared/runtime.py:524
business,catalog_offers,delete,DELETE,/resources/catalog_offers/{resource_id},actor_from_headers obrigatório,papel sensível somente para leitura de terceiro sensível; demais CRUDs usam owner/operator,owner_or_operator; sensíveis/imutáveis bloqueados,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,soft_delete gera audit,não aplicável,parcial_estatico,,modules/shared/runtime.py:545
permissions,roles,create,POST,/resources/roles,actor_from_headers obrigatório,SENSITIVE_ROLES para leitura; PERMISSIONS_WRITE_ROLES para escrita,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,store.create gera audit/event,X-Idempotency-Key somente transacionais,parcial_estatico,tests/test_permissions_enforcement_matrix.py:126,modules/shared/runtime.py:489
permissions,roles,list,GET,/resources/roles,actor_from_headers obrigatório,SENSITIVE_ROLES para leitura; PERMISSIONS_WRITE_ROLES para escrita,lista do actor; user_id de terceiro exige APPROVER_ROLES,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,leitura não auditada genericamente,não aplicável,parcial_estatico,tests/test_permissions_enforcement_matrix.py:131,modules/shared/runtime.py:499
permissions,roles,read,GET,/resources/roles/{resource_id},actor_from_headers obrigatório,SENSITIVE_ROLES para leitura; PERMISSIONS_WRITE_ROLES para escrita,owner_or_operator antes da exposição,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:512
permissions,roles,update,PATCH,/resources/roles/{resource_id},actor_from_headers obrigatório,SENSITIVE_ROLES para leitura; PERMISSIONS_WRITE_ROLES para escrita,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,store.update gera audit,não exigida genericamente,parcial_estatico,,modules/shared/runtime.py:524
permissions,roles,delete,DELETE,/resources/roles/{resource_id},actor_from_headers obrigatório,SENSITIVE_ROLES para leitura; PERMISSIONS_WRITE_ROLES para escrita,owner_or_operator; sensíveis/imutáveis bloqueados,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,soft_delete gera audit,não aplicável,parcial_estatico,,modules/shared/runtime.py:545
permissions,permissions,create,POST,/resources/permissions,actor_from_headers obrigatório,SENSITIVE_ROLES para leitura; PERMISSIONS_WRITE_ROLES para escrita,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,store.create gera audit/event,X-Idempotency-Key somente transacionais,parcial_estatico,,modules/shared/runtime.py:489
permissions,permissions,list,GET,/resources/permissions,actor_from_headers obrigatório,SENSITIVE_ROLES para leitura; PERMISSIONS_WRITE_ROLES para escrita,lista do actor; user_id de terceiro exige APPROVER_ROLES,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:499
permissions,permissions,read,GET,/resources/permissions/{resource_id},actor_from_headers obrigatório,SENSITIVE_ROLES para leitura; PERMISSIONS_WRITE_ROLES para escrita,owner_or_operator antes da exposição,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:512
permissions,permissions,update,PATCH,/resources/permissions/{resource_id},actor_from_headers obrigatório,SENSITIVE_ROLES para leitura; PERMISSIONS_WRITE_ROLES para escrita,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,store.update gera audit,não exigida genericamente,parcial_estatico,,modules/shared/runtime.py:524
permissions,permissions,delete,DELETE,/resources/permissions/{resource_id},actor_from_headers obrigatório,SENSITIVE_ROLES para leitura; PERMISSIONS_WRITE_ROLES para escrita,owner_or_operator; sensíveis/imutáveis bloqueados,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,soft_delete gera audit,não aplicável,parcial_estatico,,modules/shared/runtime.py:545
permissions,user_roles,create,POST,/resources/user_roles,actor_from_headers obrigatório,SENSITIVE_ROLES para leitura; PERMISSIONS_WRITE_ROLES para escrita,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,store.create gera audit/event,X-Idempotency-Key somente transacionais,parcial_estatico,,modules/shared/runtime.py:489
permissions,user_roles,list,GET,/resources/user_roles,actor_from_headers obrigatório,SENSITIVE_ROLES para leitura; PERMISSIONS_WRITE_ROLES para escrita,lista do actor; user_id de terceiro exige APPROVER_ROLES,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:499
permissions,user_roles,read,GET,/resources/user_roles/{resource_id},actor_from_headers obrigatório,SENSITIVE_ROLES para leitura; PERMISSIONS_WRITE_ROLES para escrita,owner_or_operator antes da exposição,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:512
permissions,user_roles,update,PATCH,/resources/user_roles/{resource_id},actor_from_headers obrigatório,SENSITIVE_ROLES para leitura; PERMISSIONS_WRITE_ROLES para escrita,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,store.update gera audit,não exigida genericamente,parcial_estatico,,modules/shared/runtime.py:524
permissions,user_roles,delete,DELETE,/resources/user_roles/{resource_id},actor_from_headers obrigatório,SENSITIVE_ROLES para leitura; PERMISSIONS_WRITE_ROLES para escrita,owner_or_operator; sensíveis/imutáveis bloqueados,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,soft_delete gera audit,não aplicável,parcial_estatico,,modules/shared/runtime.py:545
permissions,access_policies,create,POST,/resources/access_policies,actor_from_headers obrigatório,SENSITIVE_ROLES para leitura; PERMISSIONS_WRITE_ROLES para escrita,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,store.create gera audit/event,X-Idempotency-Key somente transacionais,parcial_estatico,,modules/shared/runtime.py:489
permissions,access_policies,list,GET,/resources/access_policies,actor_from_headers obrigatório,SENSITIVE_ROLES para leitura; PERMISSIONS_WRITE_ROLES para escrita,lista do actor; user_id de terceiro exige APPROVER_ROLES,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:499
permissions,access_policies,read,GET,/resources/access_policies/{resource_id},actor_from_headers obrigatório,SENSITIVE_ROLES para leitura; PERMISSIONS_WRITE_ROLES para escrita,owner_or_operator antes da exposição,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,leitura não auditada genericamente,não aplicável,parcial_estatico,,modules/shared/runtime.py:512
permissions,access_policies,update,PATCH,/resources/access_policies/{resource_id},actor_from_headers obrigatório,SENSITIVE_ROLES para leitura; PERMISSIONS_WRITE_ROLES para escrita,owner_or_operator,não genérico; regras especiais por domínio quando implementadas,permissions em recursos configurados; não genérico nos demais CRUDs,False,store.update gera audit,não exigida genericamente,parcial_estatico,,modules/shared/runtime.py:524
